*Vertices  334
1 "人体经络显示屏"
2 "LED显示屏"
3 "LCD显示屏"
4 "3D显示屏"
5 "显示器"
6 "衬底"
7 "LED灯罩"
8 "LED灯"
9 "滤波片"
10 "光纤"
11 "探头"
12 "连接带"
13 "电容"
14 "容器"
15 "光膜"
16 "传感器"
17 "控制器"
18 "处理器"
19 "单片机"
20 "发生器"
21 "音箱"
22 "叶片"
23 "折盒机"
24 "装盒机"
25 "波长检测器"
26 "荧光粉"
27 "反光杯"
28 "聚光杯"
29 "验钞紫光灯"
30 "远光灯"
31 "整流器"
32 "工质"
33 "开关"
34 "发光荧光材料"
35 "柔性高分子材料"
36 "III-V族半导体材料"
37 "GAN"
38 "塑料光转换荧光粒料"
39 "FBG"
40 "助剂"
41 "次氯酸钠溶液"
42 "保护层"
43 "刻度板"
44 "热电分离"
45 "离子络合"
46 "触发脉冲"
47 "发光球"
48 "焊油墨"
49 "PD"
50 "引发剂"
51 "聚合物树脂"
52 "蒸发皿"
53 "功率因数校正"
54 "色域"
55 "连接管"
56 "IP核"
57 "模数转换集成块"
58 "充电台灯"
59 "硼酸"
60 "活性层"
61 "圆圈基体"
62 "显示技术"
63 "握杆"
64 "组装线"
65 "蓝膜"
66 "装饰层"
67 "网孔板"
68 "激光射线"
69 "变压器"
70 "定时器"
71 "XYZ2xyz"
72 "稳压块"
73 "Zigbee"
74 "XYZ2RGB"
75 "太阳能吸收板"
76 "触摸屏"
77 "牙结石"
78 "桡动脉"
79 "加湿器"
80 "光纤耦合"
81 "CIE"
82 "阻燃塑料外壳"
83 "编解码方法"
84 "坐标方向校正方法"
85 "蒸镀方法"
86 "校准方法"
87 "解调方法"
88 "AuSn"
89 "Au5Sn"
90 "发光板"
91 "EP"
92 "LED外延片"
93 "外延片"
94 "外延"
95 "液晶显示模块"
96 "二极管"
97 "整流二极管"
98 "稳压二极管"
99 "三极管"
100 "语音警报器"
101 "挂绳"
102 "掩膜"
103 "联轴器"
104 "扩散剂"
105 "听筒"
106 "模糊增强算法"
107 "GSM"
108 "止血扣碗"
109 "教具"
110 "玻璃"
111 "雪糕板"
112 "香薰托盘"
113 "环形器"
114 "通道"
115 "接收管"
116 "LED灯具散热壳体"
117 "LED光源"
118 "日光灯平面光源"
119 "电热丝"
120 "塑料"
121 "腐蚀液"
122 "Au-Sn合金电镀液"
123 "缩水甘油"
124 "电子元器件"
125 "光电转换器件"
126 "转换器"
127 "铝基板"
128 "基板"
129 "集热板"
130 "导热板"
131 "缓冲层"
132 "晶体振荡器"
133 "导热陶瓷"
134 "绝缘靴"
135 "弹性硅胶"
136 "探针"
137 "内量子效率"
138 "基座"
139 "IP软核"
140 "红外线发射管"
141 "照明扶钉器"
142 "滤光片"
143 "螺旋管"
144 "聚光玻璃罩"
145 "聚光碗"
146 "稀释剂"
147 "发动机"
148 "电动机"
149 "散热片"
150 "散热器"
151 "电加热器"
152 "干涉仪"
153 "光谱仪"
154 "液相色谱仪"
155 "发电机"
156 "直流电机"
