*Vertices  167
1 "LED显示屏"
2 "LCD显示屏"
3 "显示器"
4 "衬底"
5 "LED灯罩"
6 "LED灯"
7 "滤波片"
8 "光纤"
9 "探头"
10 "电容"
11 "容器"
12 "光膜"
13 "传感器"
14 "处理器"
15 "单片机"
16 "叶片"
17 "荧光粉"
18 "反光杯"
19 "整流器"
20 "工质"
21 "开关"
22 "发光荧光材料"
23 "III-V族半导体材料"
24 "GAN"
25 "塑料光转换荧光粒料"
26 "助剂"
27 "次氯酸钠溶液"
28 "保护层"
29 "离子络合"
30 "PD"
31 "引发剂"
32 "聚合物树脂"
33 "模数转换集成块"
34 "硼酸"
35 "活性层"
36 "蓝膜"
37 "变压器"
38 "触摸屏"
39 "光纤耦合"
40 "阻燃塑料外壳"
41 "蒸镀方法"
42 "校准方法"
43 "AuSn"
44 "Au5Sn"
45 "EP"
46 "LED外延片"
47 "外延片"
48 "外延"
49 "LED"
50 "二极管"
51 "稳压二极管"
52 "三极管"
53 "掩膜"
54 "扩散剂"
55 "玻璃"
56 "通道"
57 "接收管"
58 "LED光源"
59 "塑料"
60 "腐蚀液"
61 "Au-Sn合金电镀液"
62 "缩水甘油"
63 "光电转换器件"
64 "转换器"
65 "铝基板"
66 "基板"
67 "导热板"
68 "缓冲层"
69 "导热陶瓷"
70 "探针"
71 "内量子效率"
72 "基座"
73 "滤光片"
74 "稀释剂"
75 "散热片"
76 "散热器"
77 "荧光体"
78 "发光体"
79 "硅橡胶"
80 "光刻胶"
81 "密封胶"
82 "填充区域"
83 "SiO2"
84 "放大器"
85 "电路板"
86 "Al2O3"
87 "NH4H2PO4"
88 "GaAs"
89 "MQW"
90 "ESD"
91 "ITO"
92 "GPIO"
93 "硅氧磷灰石"
94 "键合"
95 "客户"
96 "焊盘"
97 "含硅"
98 "光子晶体"
99 "金属银纳米粒子"
100 "太阳能"
101 "蓄电池"
102 "充电电池"
103 "光电池"
104 "LED芯片"
105 "芯片"
106 "金属层"
107 "涂层"
108 "电流扩展层"
109 "电抗器"
110 "充电器"
111 "存储器"
112 "酸盐"
113 "SrCO3"
114 "Eu2O3"
115 "亚硫酸"
116 "硝酸"
117 "Eu2"
118 "去离子水"
119 "硬脂酰胺"
120 "Li"
121 "液体石蜡"
122 "电感"
123 "离子"
124 "电极"
125 "接触层"
126 "电阻"
127 "基色"
128 "Au-Sn合金"
129 "Au-30at.％Sn合金"
130 "脉冲信号"
131 "光子晶体谐振腔"
132 "丙酮"
133 "激光"
134 "粘附层"
135 "超声波"
136 "真空吸盘"
137 "MOCVD"
138 "标准芯片工艺制作"
139 "湿法刻蚀"
140 "干法刻蚀"
141 "湿法腐蚀"
142 "空穴"
143 "玻璃体"
144 "洗墙灯"
145 "射灯"
146 "检测仪"
147 "臭氧"
148 "屏幕"
149 "聚光镜"
150 "透镜"
151 "透明导电层"
152 "反射层"
153 "发光层"
154 "吸液芯"
155 "甲基"
156 "扬声器"
157 "聚光帽"
158 "固定支架"
159 "激发光"
160 "发光管"
161 "提示仪"
162 "晶体闸流管"
163 "络合剂"
164 "导热柱"
165 "DMA"
166 "电流阻挡层"
167 "半导体"
*Arcs
167 1 0.0
2 1 0.21
167 2 0.0
3 1 0.08
3 2 0.33
167 3 0.0
4 2 0.08
167 4 0.0012
167 5 0.0
6 1 0.03
6 2 0.04
6 3 0.08
6 4 0.03
6 5 0.16
167 6 3.0E-4
4 7 0.32
167 7 2.0E-4
4 8 0.17
8 7 0.53
167 8 1.0E-4
6 9 0.05
9 8 0.38
167 9 0.0
6 10 0.29
167 10 1.0E-4
11 4 0.09
6 11 0.12
10 11 0.23
167 11 1.0E-4
12 2 0.19
12 3 0.29
12 6 0.13
12 11 0.22
167 12 0.0
2 13 0.13
3 13 0.25
6 13 0.13
13 8 0.23
13 9 0.2
10 13 0.08
167 13 0.0
14 1 0.16
14 2 0.09
14 3 0.26
14 6 0.14
14 8 0.1
14 9 0.26
14 10 0.05
14 12 0.15
14 13 0.36
167 14 0.0
15 1 0.07
15 2 0.08
3 15 0.52
6 15 0.13
15 10 0.19
15 13 0.28
14 15 0.24
167 15 0.0
1 16 0.45
6 16 0.08
167 16 0.0
17 1 0.09
17 3 0.14
17 4 0.13
17 6 0.13
17 11 0.22
17 12 0.33
17 14 0.07
17 15 0.07
167 17 3.0E-4
6 18 0.11
167 18 0.0
19 4 0.07
6 19 0.22
10 19 0.53
19 11 0.33
167 19 1.0E-4
6 20 0.19
10 20 0.12
167 20 0.0
21 1 0.04
21 2 0.14
3 21 0.07
6 21 0.37
21 10 0.42
21 11 0.21
21 13 0.19
14 21 0.21
21 15 0.19
17 21 0.08
21 19 0.2
167 21 1.0E-4
22 3 0.13
22 4 0.18
22 6 0.21
22 11 0.2
22 12 0.31
22 14 0.07
22 15 0.06
22 17 0.54
22 21 0.07
167 22 5.0E-4
4 23 0.32
23 7 1.0
8 23 0.53
167 23 2.0E-4
24 2 0.12
24 4 0.65
6 24 0.04
24 7 0.5
24 8 0.27
17 24 0.1
19 24 0.1
24 23 0.5
167 24 5.0E-4
3 25 0.25
6 25 0.11
17 25 0.29
21 25 0.14
22 25 0.27
167 25 1.0E-4
3 26 0.18
6 26 0.08
26 11 0.27
12 26 0.41
17 26 0.41
21 26 0.1
22 26 0.38
26 25 0.71
167 26 1.0E-4
4 27 0.32
167 27 1.0E-4
4 28 0.23
6 28 0.11
17 28 0.14
19 28 0.14
22 28 0.13
24 28 0.18
167 28 1.0E-4
167 29 1.0E-4
3 30 0.11
4 30 0.21
30 7 0.63
30 8 0.68
30 9 0.22
30 13 0.27
14 30 0.12
30 23 0.63
24 30 0.32
167 30 2.0E-4
3 31 0.18
167 31 0.0
3 32 0.25
6 32 0.11
17 32 0.29
21 32 0.14
22 32 0.27
32 25 1.0
32 26 0.71
167 32 1.0E-4
6 33 0.11
10 33 0.2
21 33 0.14
167 33 1.0E-4
3 34 0.13
6 34 0.11
34 11 0.19
17 34 0.29
22 34 0.4
34 31 0.35
167 34 1.0E-4
4 35 0.23
22 35 0.27
28 35 0.5
167 35 1.0E-4
4 36 0.32
11 36 0.27
167 36 1.0E-4
37 1 0.07
3 37 0.11
37 4 0.05
6 37 0.26
10 37 0.52
37 11 0.24
37 13 0.04
15 37 0.05
17 37 0.06
37 19 0.68
21 37 0.29
37 24 0.08
37 28 0.11
37 31 0.15
34 37 0.11
167 37 1.0E-4
21 38 0.14
167 38 0.0
8 39 0.53
13 39 0.14
30 39 0.32
167 39 0.0
6 40 0.11
21 40 0.14
37 40 0.21
167 40 0.0
4 41 0.32
22 41 0.38
167 41 1.0E-4
167 42 0.0
43 29 1.0
167 43 1.0E-4
44 29 1.0
44 43 1.0
167 44 1.0E-4
3 45 0.07
45 4 0.12
6 45 0.12
45 10 0.11
45 11 0.1
14 45 0.14
45 15 0.06
17 45 0.39
45 19 0.08
45 21 0.11
22 45 0.29
45 27 0.19
45 28 0.13
45 31 0.38
45 34 0.4
45 36 0.19
45 37 0.11
167 45 2.0E-4
46 2 0.12
46 4 0.65
6 46 0.04
17 46 0.1
19 46 0.1
46 24 0.75
46 28 0.18
37 46 0.08
167 46 5.0E-4
47 2 0.09
47 4 0.83
6 47 0.03
47 7 0.39
47 8 0.21
17 47 0.08
19 47 0.08
22 47 0.15
47 23 0.39
47 24 0.78
47 27 0.2
47 28 0.14
47 30 0.25
37 47 0.06
47 41 0.39
45 47 0.07
47 46 0.78
167 47 9.0E-4
48 2 0.08
48 4 0.95
6 48 0.05
48 7 0.32
48 8 0.17
17 48 0.13
19 48 0.07
22 48 0.25
48 23 0.32
48 24 0.65
48 27 0.32
48 28 0.23
48 30 0.21
48 35 0.23
48 36 0.16
37 48 0.05
48 41 0.32
45 48 0.06
48 46 0.65
48 47 0.83
167 48 0.0011
49 1 0.23
49 2 0.22
49 3 0.29
49 4 0.32
49 5 0.1
49 6 0.67
49 7 0.1
49 8 0.19
49 9 0.15
49 10 0.36
49 11 0.19
49 12 0.13
49 13 0.37
49 14 0.28
49 15 0.32
49 16 0.1
49 17 0.25
49 18 0.07
49 19 0.25
49 20 0.13
49 21 0.54
49 22 0.28
49 23 0.1
49 24 0.21
49 25 0.07
49 26 0.1
49 27 0.1
49 28 0.15
49 29 0.07
49 30 0.16
49 31 0.1
49 32 0.07
49 33 0.07
49 34 0.15
49 35 0.07
49 36 0.1
49 37 0.34
49 38 0.07
49 39 0.1
49 40 0.07
49 41 0.1
49 42 0.07
49 43 0.07
49 44 0.07
49 45 0.28
49 46 0.21
49 47 0.27
49 48 0.32
167 49 9.0E-4
50 1 0.06
50 2 0.14
50 3 0.15
50 4 0.37
50 5 0.07
50 6 0.32
50 7 0.14
50 8 0.23
50 9 0.05
50 10 0.39
50 11 0.23
50 12 0.12
50 13 0.2
50 14 0.08
50 15 0.16
50 17 0.23
50 18 0.1
50 19 0.35
