*Vertices  135
1 "LED显示屏"
2 "LCD显示屏"
3 "显示器"
4 "衬底"
5 "LED灯"
6 "滤波片"
7 "光纤"
8 "电容"
9 "容器"
10 "传感器"
11 "控制器"
12 "处理器"
13 "单片机"
14 "叶片"
15 "荧光粉"
16 "工质"
17 "开关"
18 "发光荧光材料"
19 "III-V族半导体材料"
20 "GAN"
21 "热电分离"
22 "PD"
23 "引发剂"
24 "功率因数校正"
25 "连接管"
26 "模数转换集成块"
27 "硼酸"
28 "显示技术"
29 "变压器"
30 "定时器"
31 "Zigbee"
32 "发光板"
33 "EP"
34 "LED外延片"
35 "外延片"
36 "外延"
37 "LED"
38 "液晶显示模块"
39 "二极管"
40 "整流二极管"
41 "稳压二极管"
42 "三极管"
43 "扩散剂"
44 "GSM"
45 "玻璃"
46 "通道"
47 "接收管"
48 "LED光源"
49 "塑料"
50 "腐蚀液"
51 "缩水甘油"
52 "电子元器件"
53 "转换器"
54 "铝基板"
55 "基板"
56 "晶体振荡器"
57 "基座"
58 "红外线发射管"
59 "滤光片"
60 "稀释剂"
61 "电动机"
62 "散热片"
63 "散热器"
64 "发光体"
65 "加热片"
66 "硅橡胶"
67 "光刻胶"
68 "密封胶"
69 "SiO2"
70 "放大器"
71 "半导体"
72 "电路板"
73 "Al2O3"
74 "GaAs"
75 "MQW"
76 "SMT"
77 "ESD"
78 "ITO"
79 "GPIO"
80 "键合"
81 "客户"
82 "摄像机"
83 "含硅"
84 "光子晶体"
85 "太阳能"
86 "充电电池"
87 "锂电池"
88 "FPC连接器"
89 "FFC连接器"
90 "LED芯片"
91 "金属层"
92 "电流扩展层"
93 "继电器"
94 "充电器"
95 "冷凝器"
96 "存储器"
97 "酸盐"
98 "Li"
99 "电感"
100 "离子"
101 "电极"
102 "电阻"
103 "基色"
104 "发射模块"
105 "驱动模块"
106 "脉冲信号"
107 "散热腔"
108 "光子晶体谐振腔"
109 "丙酮"
110 "激光"
111 "超声波"
112 "SIM"
113 "MOCVD"
114 "湿法刻蚀"
115 "干法刻蚀"
116 "射灯"
117 "酯键"
118 "检测仪"
119 "臭氧"
120 "屏幕"
121 "读取器"
122 "透镜"
123 "舰船"
124 "反射层"
125 "甲基"
126 "信息卡"
127 "蜂鸣器"
128 "扬声器"
129 "固定支架"
130 "激发光"
131 "发光管"
132 "提示仪"
133 "DMA"
134 "插座"
135 "芯片"
*Arcs
135 1 0.0
2 1 0.29
135 2 5.0E-4
3 2 0.47
135 3 4.0E-4
135 4 5.0E-4
5 1 0.06
5 2 0.05
5 3 0.05
135 5 3.0E-4
4 6 0.63
135 6 3.0E-4
4 7 0.52
7 6 0.82
135 7 2.0E-4
5 8 0.35
135 8 5.0E-4
5 9 0.19
8 9 0.37
135 9 0.0
10 2 0.18
10 3 0.17
5 10 0.21
10 7 0.14
8 10 0.14
135 10 3.0E-4
2 11 0.34
3 11 0.32
5 11 0.18
8 11 0.18
9 11 0.14
10 11 0.32
135 11 5.0E-4
2 12 0.16
3 12 0.15
5 12 0.13
10 12 0.56
11 12 0.42
135 12 2.0E-4
13 2 0.13
3 13 0.59
5 13 0.05
8 13 0.2
10 13 0.35
13 11 0.22
13 12 0.16
135 13 3.0E-4
14 1 0.58
5 14 0.1
135 14 1.0E-4
4 15 0.32
5 15 0.1
9 15 0.32
135 15 2.0E-4
5 16 0.14
8 16 0.28
135 16 1.0E-4
17 2 0.18
17 3 0.06
17 5 0.37
17 8 0.39
17 9 0.31
17 10 0.26
17 11 0.22
17 12 0.16
17 13 0.12
135 17 3.0E-4
4 18 0.26
5 18 0.16
18 9 0.26
18 15 0.41
135 18 1.0E-4
4 19 0.63
19 6 1.0
7 19 0.82
135 19 3.0E-4
4 20 0.63
20 6 1.0
7 20 0.82
20 19 1.0
135 20 3.0E-4
5 21 0.2
8 21 0.2
21 16 0.71
135 21 1.0E-4
4 22 0.63
22 6 1.0
7 22 0.82
22 19 1.0
22 20 1.0
135 22 3.0E-4
23 3 0.24
135 23 3.0E-4
5 24 0.14
8 24 0.28
17 24 0.17
135 24 1.0E-4
5 25 0.14
8 25 0.28
25 16 1.0
21 25 0.71
135 25 1.0E-4
5 26 0.14
26 8 0.28
17 26 0.17
135 26 2.0E-4
27 3 0.24
5 27 0.1
27 9 0.32
27 15 0.5
27 18 0.41
27 23 0.5
135 27 3.0E-4
2 28 0.25
3 28 0.47
10 28 0.18
11 28 0.45
12 28 0.32
13 28 0.25
135 28 2.0E-4
29 3 0.11
5 29 0.31
8 29 0.61
29 9 0.42
29 11 0.1
17 29 0.33
29 23 0.22
29 24 0.32
29 27 0.22
135 29 1.0E-4
2 30 0.35
10 30 0.25
11 30 0.32
12 30 0.45
17 30 0.17
135 30 1.0E-4
8 31 0.28
10 31 0.25
13 31 0.35
17 31 0.17
135 31 1.0E-4
5 32 0.16
8 32 0.32
9 32 0.26
11 32 0.18
17 32 0.2
32 24 0.58
29 32 0.37
135 32 1.0E-4
33 3 0.24
33 23 1.0
33 27 0.5
33 29 0.22
135 33 3.0E-4
34 4 0.45
135 34 1.0E-4
35 4 0.77
35 6 0.82
35 7 0.67
35 19 0.82
35 20 0.82
35 22 0.82
35 34 0.58
135 35 4.0E-4
36 4 1.0
36 6 0.63
36 7 0.52
36 15 0.32
36 18 0.26
36 19 0.63
36 20 0.63
36 22 0.63
36 34 0.45
36 35 0.77
135 36 5.0E-4
37 1 0.25
37 2 0.29
37 3 0.3
37 4 0.23
37 5 0.73
37 6 0.14
37 7 0.18
37 8 0.37
37 9 0.23
37 10 0.41
37 11 0.32
37 12 0.23
37 13 0.29
37 14 0.14
37 15 0.14
37 16 0.1
37 17 0.58
37 18 0.18
37 19 0.14
37 20 0.14
37 21 0.14
37 22 0.14
37 23 0.14
37 24 0.1
37 25 0.1
37 26 0.1
37 27 0.14
37 28 0.14
37 29 0.32
37 30 0.1
37 31 0.1
37 32 0.18
37 33 0.14
37 34 0.1
37 35 0.18
37 36 0.23
135 37 0.0010
38 2 0.71
3 38 0.5
10 38 0.13
38 11 0.47
38 12 0.22
38 13 0.18
17 38 0.17
38 28 0.35
38 30 0.5
37 38 0.2
135 38 5.0E-4
39 2 0.15
39 3 0.19
39 4 0.26
39 5 0.35
39 6 0.21
39 7 0.25
39 8 0.45
39 9 0.26
39 10 0.29
39 11 0.14
39 12 0.13
39 13 0.21
39 17 0.58
39 18 0.17
39 19 0.21
39 20 0.21
39 22 0.21
39 23 0.21
39 24 0.15
39 26 0.15
39 27 0.1
39 29 0.42
39 30 0.15
39 31 0.15
39 32 0.17
39 33 0.21
39 34 0.15
39 35 0.25
39 36 0.26
39 37 0.7
39 38 0.15
135 39 7.0E-4
5 40 0.14
8 40 0.28
17 40 0.17
40 24 1.0
29 40 0.32
32 40 0.58
37 40 0.1
39 40 0.15
135 40 1.0E-4
41 2 0.14
5 41 0.23
8 41 0.57
41 9 0.18
10 41 0.1
41 11 0.26
41 12 0.18
17 41 0.21
41 24 0.41
29 41 0.65
41 30 0.41
41 32 0.47
37 41 0.25
41 38 0.2
39 41 0.36
41 40 0.41
135 41 1.0E-4
42 2 0.13
42 3 0.13
5 42 0.21
42 8 0.63
42 9 0.34
42 10 0.09
42 11 0.12
42 13 0.13
17 42 0.46
42 24 0.38
42 26 0.38
42 29 0.36
42 32 0.44
37 42 0.27
42 38 0.19
39 42 0.39
42 40 0.38
42 41 0.31
135 42 5.0E-4
5 43 0.2
9 43 0.32
43 15 0.5
18 43 0.82
27 43 0.5
37 43 0.14
39 43 0.1
135 43 1.0E-4
8 44 0.28
11 44 0.32
13 44 0.35
37 44 0.1
135 44 1.0E-4
45 1 0.3
45 3 0.24
4 45 0.22
5 45 0.27
45 6 0.34
7 45 0.28
8 45 0.07
10 45 0.06
45 13 0.17
45 14 0.34
17 45 0.17
45 19 0.34
45 20 0.34
45 22 0.34
45 23 0.34
45 27 0.17
45 29 0.08
45 33 0.34
35 45 0.28
36 45 0.22
37 45 0.42
39 45 0.32
42 45 0.09
135 45 3.0E-4
4 46 0.18
5 46 0.23
46 6 0.29
7 46 0.24
8 46 0.23
10 46 0.1
46 16 0.41
17 46 0.07
46 19 0.29
46 20 0.29
21 46 0.29
46 22 0.29
46 25 0.41
35 46 0.24
36 46 0.18
37 46 0.25
39 46 0.24
42 46 0.15
45 46 0.2
135 46 2.0E-4
47 2 0.2
47 3 0.19
5 47 0.16
47 8 0.32
47 10 0.14
47 13 0.2
17 47 0.3
47 26 0.58
37 47 0.18
47 38 0.29
39 47 0.25
47 42 0.65
47 45 0.14
47 46 0.24
135 47 4.0E-4
48 2 0.11
48 3 0.2
4 48 0.27
5 48 0.3
48 6 0.43
48 7 0.35
48 9 0.13
48 13 0.11
48 15 0.21
17 48 0.05
48 18 0.17
48 19 0.43
48 20 0.43
48 22 0.43
48 23 0.21
48 27 0.43
48 29 0.1
